============================================================ PARSE TREE ======================================================================
lexeme                 lineno                 tokenName              valueIfNumber          parentNodeSymbol            isLeafNode(yes/no)     nodeSymbol            
----------------------------------------------------------------------------------------------------------------------------------------------
_computeFunctionValue  6                      TK_FUNID               ----                   <function>                  yes                    TK_FUNID              
input                  6                      TK_INPUT               ----                   <input_par>                 yes                    TK_INPUT              
parameter              6                      TK_PARAMETER           ----                   <input_par>                 yes                    TK_PARAMETER          
list                   6                      TK_LIST                ----                   <input_par>                 yes                    TK_LIST               
[                      6                      TK_SQL                 ----                   <input_par>                 yes                    TK_SQL                
int                    6                      TK_INT                 ----                   <primitiveDatatype>         yes                    TK_INT                
----                   --                     ----                   ----                   <dataType>                  no                     <primitiveDatatype>   
----                   --                     ----                   ----                   <parameter_list>            no                     <dataType>            
c3                     6                      TK_ID                  ----                   <parameter_list>            yes                    TK_ID                 
----                   --                     ----                   ----                   <input_par>                 no                     <parameter_list>      
,                      6                      TK_COMMA               ----                   <remaining_list>            yes                    TK_COMMA              
----                   --                     ----                   ----                   <parameter_list>            no                     <remaining_list>      
int                    6                      TK_INT                 ----                   <primitiveDatatype>         yes                    TK_INT                
----                   --                     ----                   ----                   <dataType>                  no                     <primitiveDatatype>   
----                   --                     ----                   ----                   <parameter_list>            no                     <dataType>            
c4                     6                      TK_ID                  ----                   <parameter_list>            yes                    TK_ID                 
----                   --                     ----                   ----                   <remaining_list>            no                     <parameter_list>      
,                      6                      TK_COMMA               ----                   <remaining_list>            yes                    TK_COMMA              
----                   --                     ----                   ----                   <parameter_list>            no                     <remaining_list>      
int                    6                      TK_INT                 ----                   <primitiveDatatype>         yes                    TK_INT                
----                   --                     ----                   ----                   <dataType>                  no                     <primitiveDatatype>   
----                   --                     ----                   ----                   <parameter_list>            no                     <dataType>            
c5                     6                      TK_ID                  ----                   <parameter_list>            yes                    TK_ID                 
----                   --                     ----                   ----                   <remaining_list>            no                     <parameter_list>      
----                   --                     ----                   ----                   <parameter_list>            no                     <remaining_list>      
----                   --                     ----                   ----                   <function>                  no                     <input_par>           
]                      6                      TK_SQR                 ----                   <input_par>                 yes                    TK_SQR                
output                 7                      TK_OUTPUT              ----                   <output_par>                yes                    TK_OUTPUT             
parameter              7                      TK_PARAMETER           ----                   <output_par>                yes                    TK_PARAMETER          
                       -1                     TK_LIST                ----                   <output_par>                yes                    TK_LIST               
[                      7                      TK_SQL                 ----                   <output_par>                yes                    TK_SQL                
real                   7                      TK_REAL                ----                   <primitiveDatatype>         yes                    TK_REAL               
----                   --                     ----                   ----                   <dataType>                  no                     <primitiveDatatype>   
----                   --                     ----                   ----                   <parameter_list>            no                     <dataType>            
c6                     7                      TK_ID                  ----                   <parameter_list>            yes                    TK_ID                 
----                   --                     ----                   ----                   <output_par>                no                     <parameter_list>      
----                   --                     ----                   ----                   <parameter_list>            no                     <remaining_list>      
----                   --                     ----                   ----                   <function>                  no                     <output_par>          
]                      7                      TK_SQR                 ----                   <output_par>                yes                    TK_SQR                
;                      7                      TK_SEM                 ----                   <function>                  yes                    TK_SEM                
----                   --                     ----                   ----                   <stmts>                     no                     <typeDefinitions>     
type                   8                      TK_TYPE                ----                   <declaration>               yes                    TK_TYPE               
real                   8                      TK_REAL                ----                   <primitiveDatatype>         yes                    TK_REAL               
----                   --                     ----                   ----                   <dataType>                  no                     <primitiveDatatype>   
----                   --                     ----                   ----                   <declaration>               no                     <dataType>            
:                      8                      TK_COLON               ----                   <declaration>               yes                    TK_COLON              
                       -1                     TK_ID                  ----                   <declaration>               yes                    TK_ID                 
----                   --                     ----                   ----                   <declaration>               no                     <global_or_not>       
----                   --                     ----                   ----                   <declarations>              no                     <declaration>         
;                      8                      TK_SEM                 ----                   <declaration>               yes                    TK_SEM                
----                   --                     ----                   ----                   <stmts>                     no                     <declarations>        
type                   9                      TK_TYPE                ----                   <declaration>               yes                    TK_TYPE               
real                   9                      TK_REAL                ----                   <primitiveDatatype>         yes                    TK_REAL               
----                   --                     ----                   ----                   <dataType>                  no                     <primitiveDatatype>   
----                   --                     ----                   ----                   <declaration>               no                     <dataType>            
:                      9                      TK_COLON               ----                   <declaration>               yes                    TK_COLON              
c4bbb                  9                      TK_ID                  ----                   <declaration>               yes                    TK_ID                 
----                   --                     ----                   ----                   <declaration>               no                     <global_or_not>       
